Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization ZIP Code,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Geocoding Artifact Rural Status Indicator,Complete County Name,County Equivalent Name
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-012419,Western Maine Family Health Center,16 Depot St STE 300,Livermore Falls,04254-1311,207-897-4345,www.healthreachchc.org,49.5,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-70.18889202,44.47266758,Y,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00396,010530,BPS-H80-015349,Bolduc Avenue Health Center,12 Bolduc Ave,Fort Kent,04743-1602,207-834-3971,www.frrh.org,59,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Fish River Rural Health,10 Carter St,Eagle Lake,04739-3060,-68.58968541,47.26469089,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-009915,CCS Family Health Center,100 Campus Ave,Lewiston,04240-6040,207-755-3445,www.communityclinicalservices.com,57,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.19933302,44.1024854,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-019520,Ashland District School,180 Presque Isle Rd,Ashland,04732-3414,207-538-3700,www.kvhc.org,8,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.39368441,46.62703827,Y,Aroostook County,Aroostook
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-005787,COLONIAL ACRES NURSING HOME,Workman Ter,Lincoln,04457,207-794-6700,www.hanfqhc.org,10,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.50305365,45.35507838,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC) Look-Alike,LALCS00085,01E00188,BPS-LAL-017470,CCS Pediatrics,330 Sabattus St STE B,Lewiston,04240-5553,207-755-3160 x20751,www.communityclinicalservices.com,51,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,"Community Clinical Services, Inc.",B St Community Ctr 57 Birch St Ste 201,Lewiston,04240,-70.19994113,44.10072306,N,Androscoggin County,Androscoggin
Federally Qualified Health Center (FQHC),H80CS00797,010460,BPS-H80-002892,MADISON AREA HEALTH CENTER,8 S Main St,Madison,04950-4501,207-696-3992,www.healthreachchc.org,48,7,All Other Clinic Types,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,Healthreach Community Health Centers,10 Water St STE 305,Waterville,04901-6566,-69.86872846,44.79847643,Y,Somerset County,Somerset
Federally Qualified Health Center (FQHC),H80CS04291,014580,BPS-H80-007041,STILLWATER HEALTH CARE,335 Stillwater Ave,Bangor,04401-3944,207-947-1111,,15,4,Nursing Home,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,Penobscot Community Health Center,103 Maine Ave,Bangor,04401-4330,-68.75964668,44.82224541,N,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS02450,015110,BPS-H80-011735,HAN Lee School Based Community Health Center,Winn Rd,Lee,04455,207-794-6700,www.hanfqhc.org,40,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,"Health Access Network, Inc.",175 W Broadway,Lincoln,04457-4000,-68.29436727,45.38946911,Y,Penobscot County,Penobscot
Federally Qualified Health Center (FQHC),H80CS00488,013240,BPS-H80-021644,KVHC Stearns Jr./Sr. High School,199 State St,Millinocket,04462-1545,207-538-3700,www.kvhc.org,5,2,School,1,Active,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,Katahdin Valley Health Center,529 S Patten Rd,Patten,04765-3007,-68.70595666,45.66125301,Y,Penobscot County,Penobscot
