Location,Anaplasmosis,Babesiosis,Lyme,Population
Abbot,0,0,<6,"3,515"
Acton,16,1,13,"12,831"
Addison,0,0,11,"6,224"
Albion,4,2,32,"10,379"
Alexander,0,0,<6,"2,380"
Alfred,12,1,22,"15,519"
Allagash,0,0,0,"1,069"
Alna,13,<6,17,"3,614"
Alton,0,0,<6,"4,485"
Amherst,0,0,0,"1,392"
Amity,0,0,0,"1,102"
Andover,0,0,0,"4,098"
Anson,2,0,11,"12,129"
Appleton,20,<6,37,"6,838"
Argyle Twp,0,0,0,"1,383"
Arrowsic,15,0,10,"2,195"
Arundel,1,1,15,"20,995"
Ashland,0,0,0,"6,123"
Athens,<6,<6,8,"5,014"
Atkinson,0,0,0,"1,600"
Auburn,44,4,68,"114,438"
Augusta,31,7,123,"92,328"
Aurora,0,0,0,583
Avon,0,0,0,"2,254"
Baileyville,0,0,0,"7,187"
Baldwin,<6,<6,18,"7,990"
Bancroft Twp,0,0,0,318
Bangor,6,1,68,"160,360"
Bar Harbor,23,6,95,"26,596"
Baring Plt,0,0,<6,"1,197"
Bath,16,5,34,"41,775"
Beals,0,0,<6,"2,492"
Beaver Cove,0,0,0,605
Beddington,NR,NR,NR,235
Belfast,30,4,55,"32,908"
Belgrade,3,2,41,"16,086"
Belmont,7,0,7,"4,761"
Benton,3,0,25,"13,748"
Berwick,15,1,26,"38,744"
Bethel,0,0,12,"13,373"
Biddeford,9,3,47,"108,967"
Bingham,0,0,<6,"4,314"
Blaine,0,0,0,"3,471"
Blanchard Twp,0,0,0,474
Blue Hill,12,0,60,"13,190"
Boothbay,6,1,20,"15,591"
Boothbay Harbor,0,0,15,"10,461"
Bowdoin,13,1,34,"15,961"
Bowdoinham,32,5,51,"15,040"
Bowerbank,0,0,0,564
Bradford,0,<6,<6,"6,469"
Bradley,<6,0,<6,"7,383"
Bremen,10,<6,17,"3,988"
Brewer,4,1,34,"45,277"
Bridgewater,0,0,0,"2,877"
Bridgton,15,0,28,"26,506"
Brighton Plt,0,0,0,333
Bristol,47,6,48,"13,609"
Brooklin,<6,0,23,"4,146"
Brooks,<6,0,22,"5,626"
Brooksville,<6,0,20,"4,609"
Brownfield,<6,0,6,"8,343"
Brownville,0,0,<6,"5,801"
Brunswick,48,8,102,"104,208"
Buckfield,4,1,10,"10,205"
Bucksport,12,5,53,"24,694"
Burlington,0,0,0,"1,904"
Burnham,<6,0,13,"5,976"
Buxton,13,3,55,"41,517"
Byron,0,0,0,741
Calais,0,0,6,"14,703"
Cambridge,0,0,<6,"2,172"
Camden,25,6,64,"23,332"
Canaan,5,0,18,"11,104"
Canton,<6,0,<6,"4,693"
Cape Elizabeth,2,4,53,"46,113"
Caratunk,0,0,0,308
Caribou,0,0,1,"37,981"
Carmel,1,2,17,"14,292"
Carrabassett Valley,0,<6,<6,"3,962"
Carroll Plt,0,0,0,769
Carthage,<6,0,<6,"2,755"
Cary Plt,0,0,<6,"1,035"
Casco,8,0,27,"19,597"
Castine,8,0,27,"5,962"
Castle Hill,0,0,0,"1,990"
Caswell,0,0,0,"1,440"
Central Aroostook,0,0,0,572
Central Somerset,0,0,0,"1,644"
Chapman,0,0,<6,"2,301"
Charleston,0,0,<6,"7,547"
Charlotte,0,0,0,"1,587"
Chebeague Island,0,0,6-10,"1,820"
Chelsea,2,2,30,"13,541"
Cherryfield,0,0,7,"5,884"
Chester,0,0,<6,"2,706"
Chesterville,<6,0,<6,"6,682"
China,12,2,39,"21,964"
Clifton,0,0,<6,"4,622"
Clinton,4,0,28,"17,378"
Codyville Plt,NR,NR,NR,119
Columbia,0,0,<6,"2,379"
Columbia Falls,<6,0,<6,"2,736"
Connor Twp,0,0,0,"2,217"
Cooper,0,0,0,692
Coplin Plt,0,0,0,811
Corinna,0,0,5,"10,805"
Corinth,0,0,4,"14,361"
Cornish,12,<6,11-15,"7,129"
Cornville,0,0,7,"6,553"
Cranberry Isles,0,0,0,701
Crawford,0,0,0,493
Criehaven Twp,NR,NR,NR,5
Crystal,0,0,<6,"1,268"
Cumberland,13,6,61,"39,778"
Cushing,16,<6,21,"7,767"
Cutler,0,0,<6,"2,501"
Cyr Plt,0,0,0,499
Dallas Plt,0,0,0,"1,517"
Damariscotta,34,3,40,"10,623"
Danforth,0,0,0,"2,778"
Dayton,3,1,18,"10,308"
Deblois,0,0,0,278
Dedham,<6,0,6,"8,651"
Deer Isle,<6,<6,86,"9,553"
Denmark,<6,<6,6,"5,832"
Dennistown Plt,NR,NR,NR,183
Dennysville,0,0,0,"1,609"
Detroit,0,0,6,"4,139"
Dexter,1,0,14,"18,725"
Dixfield,1,0,4,"12,349"
Dixmont,<6,0,11,"5,820"
Dover-Foxcroft,0,0,4,"19,968"
Dresden,6,<6,19,"8,449"
Drew Plt,NR,NR,NR,217
Durham,17,5,39,"19,933"
Dyer Brook,0,0,0,"1,046"
Eagle Lake,0,0,0,"3,844"
East Central Franklin,0,0,0,"3,989"
East Central Penobscot,0,0,0,"1,735"
East Central Washington,0,0,0,"3,597"
East Hancock,0,0,0,490
East Machias,<6,<6,12,"6,638"
East Millinocket,0,0,<6,"8,180"
Eastbrook,0,0,0,"2,169"
Easton,0,0,0,"6,269"
Eastport,0,0,<6,"6,147"
Eddington,1,0,20,"10,989"
Edgecomb,<6,0,13,"6,343"
Edinburg,0,0,0,623
Eliot,8,12,52,"32,696"
Ellsworth,3,1,75,"39,636"
Embden,0,0,7,"4,526"
Enfield,0,0,<6,"7,775"
Etna,0,0,6,"6,281"
Eustis,0,0,<6,"3,069"
Exeter,0,0,<6,"5,392"
Fairfield,6,0,31,"32,723"
Falmouth,15,3,57,"58,725"
Farmingdale,4,1,25,"14,627"
Farmington,4,0,27,"37,590"
Fayette,<6,<6,15,"5,657"
Fletchers Landing Twp,0,0,0,611
Fort Fairfield,0,0,0,"16,647"
Fort Kent,0,0,1,"19,407"
Frankfort,<6,0,<6,"5,847"
Franklin,<6,0,12,"7,514"
Freedom,<6,0,9,"3,677"
Freeport,39,5,94,"41,507"
Frenchboro,0,0,0,335
Frenchville,0,0,0,"4,980"
Friendship,6,<6,18,"5,774"
Frye Island,NR,NR,NR,27
Fryeburg,6,0,8,"17,301"
Gardiner,19,4,58,"28,683"
Garfield Plt,0,0,0,381
Garland,0,0,<6,"5,376"
Georgetown,13,<6,24,"5,226"
Gilead,0,0,0,"1,065"
Glenburn,2,0,13,"23,101"
Glenwood Plt,NR,NR,NR,15
Gorham,24,8,114,"87,421"
Gouldsboro,<6,0,10,"8,687"
Grand Isle,0,0,0,"2,162"
Grand Lake Stream Plt,0,0,0,499
Gray,17,7,68,"41,090"
Great Pond,0,0,0,316
Greenbush,0,0,<6,"7,599"
Greene,13,NR,27,"22,017"
Greenville,0,0,<6,"7,713"
Greenwood,<6,0,<6,"4,212"
Guilford,0,0,<6,"7,281"
Hallowell,7,0,18,"11,658"
Hamlin,0,0,0,"1,000"
Hammond,0,0,0,564
