Location,Anaplasmosis,Babesiosis,Lyme,Population
Abbot,0,0,*,"3,515"
Acton,124.7,7.8,101.3,"12,831"
Addison,0,0,176.7,"6,224"
Albion,38.5,19.3,308.3,"10,379"
Alexander,0,0,*,"2,380"
Alfred,77.3,6.4,141.8,"15,519"
Allagash,0,0,0,"1,069"
Alna,359.7,*,470.4,"3,614"
Alton,0,0,*,"4,485"
Amherst,0,0,0,"1,392"
Amity,0,0,0,"1,102"
Andover,0,0,0,"4,098"
Anson,16.5,0,90.7,"12,129"
Appleton,292.5,*,541.1,"6,838"
Argyle Twp,0,0,0,"1,383"
Arrowsic,683.4,0,455.6,"2,195"
Arundel,4.8,4.8,71.4,"20,995"
Ashland,0,0,0,"6,123"
Athens,*,*,159.6,"5,014"
Atkinson,0,0,0,"1,600"
Auburn,38.4,3.5,59.4,"114,438"
Augusta,33.6,7.6,133.2,"92,328"
Aurora,0,0,0,583
Avon,0,0,0,"2,254"
Baileyville,0,0,0,"7,187"
Baldwin,*,*,225.3,"7,990"
Bancroft Twp,0,0,0,318
Bangor,3.7,0.6,42.4,"160,360"
Bar Harbor,86.5,22.6,357.2,"26,596"
Baring Plt,0,0,*,"1,197"
Bath,38.3,12,81.4,"41,775"
Beals,0,0,*,"2,492"
Beaver Cove,0,0,0,605
Beddington,NR,NR,NR,235
Belfast,91.2,12.2,167.1,"32,908"
Belgrade,18.6,12.4,254.9,"16,086"
Belmont,147,0,147,"4,761"
Benton,21.8,0,181.8,"13,748"
Berwick,38.7,2.6,67.1,"38,744"
Bethel,0,0,89.7,"13,373"
Biddeford,8.3,2.8,43.1,"108,967"
Bingham,0,0,*,"4,314"
Blaine,0,0,0,"3,471"
Blanchard Twp,0,0,0,474
Blue Hill,91,0,454.9,"13,190"
Boothbay,38.5,6.4,128.3,"15,591"
Boothbay Harbor,0,0,143.4,"10,461"
Bowdoin,81.4,6.3,213,"15,961"
Bowdoinham,212.8,33.2,339.1,"15,040"
Bowerbank,0,0,0,564
Bradford,0,*,*,"6,469"
Bradley,*,0,*,"7,383"
Bremen,250.8,*,426.3,"3,988"
Brewer,8.8,2.2,75.1,"45,277"
Bridgewater,0,0,0,"2,877"
Bridgton,56.6,0,105.6,"26,506"
Brighton Plt,0,0,0,333
Bristol,345.4,44.1,352.7,"13,609"
Brooklin,*,0,554.8,"4,146"
Brooks,*,0,391,"5,626"
Brooksville,*,0,433.9,"4,609"
Brownfield,*,0,71.9,"8,343"
Brownville,0,0,*,"5,801"
Brunswick,46.1,7.7,97.9,"104,208"
Buckfield,39.2,9.8,98,"10,205"
Bucksport,48.6,20.2,214.6,"24,694"
Burlington,0,0,0,"1,904"
Burnham,*,0,217.5,"5,976"
Buxton,31.3,7.2,132.5,"41,517"
Byron,0,0,0,741
Calais,0,0,40.8,"14,703"
Cambridge,0,0,*,"2,172"
Camden,107.1,25.7,274.3,"23,332"
Canaan,45,0,162.1,"11,104"
Canton,*,0,*,"4,693"
Cape Elizabeth,4.3,8.7,114.9,"46,113"
Caratunk,0,0,0,308
Caribou,0,0,2.6,"37,981"
Carmel,7,14,118.9,"14,292"
Carrabassett Valley,0,*,*,"3,962"
Carroll Plt,0,0,0,769
Carthage,*,0,*,"2,755"
Cary Plt,0,0,*,"1,035"
Casco,40.8,0,137.8,"19,597"
Castine,134.2,0,452.9,"5,962"
Castle Hill,0,0,0,"1,990"
Caswell,0,0,0,"1,440"
Central Aroostook,0,0,0,572
Central Somerset,0,0,0,"1,644"
Chapman,0,0,*,"2,301"
Charleston,0,0,*,"7,547"
Charlotte,0,0,0,"1,587"
Chebeague Island,0,0,*,"1,820"
Chelsea,14.8,14.8,221.5,"13,541"
Cherryfield,0,0,119,"5,884"
Chester,0,0,*,"2,706"
Chesterville,*,0,*,"6,682"
China,54.6,9.1,177.6,"21,964"
Clifton,0,0,*,"4,622"
Clinton,23,0,161.1,"17,378"
Codyville Plt,NR,NR,NR,119
Columbia,0,0,*,"2,379"
Columbia Falls,*,0,*,"2,736"
Connor Twp,0,0,0,"2,217"
Cooper,0,0,0,692
Coplin Plt,0,0,0,811
Corinna,0,0,46.3,"10,805"
Corinth,0,0,27.9,"14,361"
Cornish,168.3,*,*,"7,129"
Cornville,0,0,106.8,"6,553"
Cranberry Isles,0,0,0,701
Crawford,0,0,0,493
Criehaven Twp,NR,NR,NR,5
Crystal,0,0,*,"1,268"
Cumberland,32.7,15.1,153.4,"39,778"
Cushing,206,*,270.4,"7,767"
Cutler,0,0,*,"2,501"
Cyr Plt,0,0,0,499
Dallas Plt,0,0,0,"1,517"
Damariscotta,320.1,28.2,376.5,"10,623"
Danforth,0,0,0,"2,778"
Dayton,29.1,9.7,174.6,"10,308"
Deblois,0,0,0,278
Dedham,*,0,69.4,"8,651"
Deer Isle,*,*,900.2,"9,553"
Denmark,*,*,102.9,"5,832"
Dennistown Plt,NR,NR,NR,183
Dennysville,0,0,0,"1,609"
Detroit,0,0,145,"4,139"
Dexter,5.3,0,74.8,"18,725"
Dixfield,8.1,0,32.4,"12,349"
Dixmont,*,0,189,"5,820"
Dover-Foxcroft,0,0,20,"19,968"
Dresden,71,*,224.9,"8,449"
Drew Plt,NR,NR,NR,217
Durham,85.3,25.1,195.7,"19,933"
Dyer Brook,0,0,0,"1,046"
Eagle Lake,0,0,0,"3,844"
East Central Franklin,0,0,0,"3,989"
East Central Penobscot,0,0,0,"1,735"
East Central Washington,0,0,0,"3,597"
East Hancock,0,0,0,490
East Machias,*,*,180.8,"6,638"
East Millinocket,0,0,*,"8,180"
Eastbrook,0,0,0,"2,169"
Easton,0,0,0,"6,269"
Eastport,0,0,*,"6,147"
Eddington,9.1,0,182,"10,989"
Edgecomb,*,0,205,"6,343"
Edinburg,0,0,0,623
Eliot,24.5,36.7,159,"32,696"
Ellsworth,7.6,2.5,189.2,"39,636"
Embden,0,0,154.7,"4,526"
Enfield,0,0,*,"7,775"
Etna,0,0,95.5,"6,281"
Eustis,0,0,*,"3,069"
Exeter,0,0,*,"5,392"
Fairfield,18.3,0,94.7,"32,723"
Falmouth,25.5,5.1,97.1,"58,725"
Farmingdale,27.3,6.8,170.9,"14,627"
Farmington,10.6,0,71.8,"37,590"
Fayette,*,*,265.2,"5,657"
Fletchers Landing Twp,0,0,0,611
Fort Fairfield,0,0,0,"16,647"
Fort Kent,0,0,5.2,"19,407"
Frankfort,*,0,*,"5,847"
Franklin,*,0,159.7,"7,514"
Freedom,*,0,244.8,"3,677"
Freeport,94,12,226.5,"41,507"
Frenchboro,0,0,0,335
Frenchville,0,0,0,"4,980"
Friendship,103.9,*,311.7,"5,774"
Frye Island,NR,NR,NR,27
Fryeburg,34.7,0,46.2,"17,301"
Gardiner,66.2,13.9,202.2,"28,683"
Garfield Plt,0,0,0,381
