town,borrelia_percent,borrelia_positive,borrelia_tests,anaplasma_percent,anaplasma_positive,anaplasma_tests,babesia_percent,babesia_positive,babesia_tests,ehrlichia_percent,ehrlichia_positive,ehrlichia_tests,francisella_percent,francisella_positive,francisella_tests,rickettsia_percent,rickettsia_positive,rickettsia_tests
Abbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acton,0.143,1,7,0,0,7,0.286,2,7,0,0,2,0,0,2,0,0,2
Adamstown Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
Albany Twp,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Albion,0.333,3,9,0.111,1,9,0.111,1,9,0,0,1,0,0,1,0,0,1
Alder Brook Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alder Stream Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfred,0.2,1,5,0.4,2,5,0,0,5,0,0,1,0,0,1,0,0,1
Allagash,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Alna,0.37,10,27,0.074,2,27,0.111,3,27,0,0,4,0,0,4,0,0,4
Alton,0.273,3,11,0,0,11,0.091,1,11,0,0,4,0,0,4,0,0,4
Amherst,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0
Amity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andover,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3,0,0,3
Andover North Surplus Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andover West Surplus Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anson,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Appleton,0.519,27,52,0.077,4,52,0.115,6,52,0,0,2,0,0,2,0,0,2
Appleton Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argyle Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrowsic,0.462,12,26,0.077,2,26,0.115,3,26,0,0,3,0,0,3,0,0,3
Arundel,0.286,6,21,0.143,3,21,0,0,21,0,0,0,0,0,0,0,0,0
Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athens,0.25,1,4,0,0,4,0,0,4,0,0,1,0,0,1,0,0,1
Atkinson Twp,0.25,1,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
Attean Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn,0.397,23,58,0.121,7,58,0.121,7,58,0,0,6,0,0,6,0,0,6
Augusta,0.326,15,46,0.043,2,46,0.13,6,46,0,0,10,0,0,10,0,0,10
Aurora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baileyville,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Bald Mountain Twp T2 R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bald Mountain Twp T4 R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin,0.182,2,11,0.273,3,11,0.182,2,11,0,0,1,0,0,1,0,0,1
Bancroft Twp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangor,0.393,24,61,0.066,4,61,0.016,1,61,0,0,58,0,0,58,0,0,58
